slug,month,avg_high_f,avg_low_f,wet_days,source
half-dome-yosemite-ca,10,58,31,4,"Open-Meteo ERA5 historical, 2015-2024"
half-dome-yosemite-ca,11,45,21,6,"Open-Meteo ERA5 historical, 2015-2024"
half-dome-yosemite-ca,12,38,16,10,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,1,30,12,10,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,2,32,14,10,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,3,40,20,12,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,4,47,25,9,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,5,57,31,9,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,6,74,44,5,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,7,79,50,5,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,8,77,49,6,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,9,70,43,6,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,10,55,30,8,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,11,40,18,8,"Open-Meteo ERA5 historical, 2015-2024"
hanging-lake-co,12,31,11,10,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,1,53,34,6,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,2,59,37,4,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,3,67,43,7,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,4,78,52,3,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,5,84,59,3,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,6,98,72,1,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,7,100,77,3,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,8,97,73,5,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,9,92,66,3,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,10,79,54,4,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,11,65,42,2,"Open-Meteo ERA5 historical, 2015-2024"
havasu-falls-az,12,55,35,4,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,1,41,25,7,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,2,47,27,5,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,3,54,33,7,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,4,66,41,4,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,5,73,49,4,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,6,86,61,2,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,7,89,66,6,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,8,85,64,8,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,9,80,57,4,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,10,68,46,4,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,11,55,34,3,"Open-Meteo ERA5 historical, 2015-2024"
hermit-trail-gc-az,12,44,28,5,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,1,62,46,4,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,2,68,49,3,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,3,75,55,4,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,4,86,63,1,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,5,93,71,1,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,6,106,83,0,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,7,109,88,2,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,8,107,86,2,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,9,100,79,2,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,10,87,67,2,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,11,72,54,1,"Open-Meteo ERA5 historical, 2015-2024"
hoover-dam-trail-nv,12,62,47,2,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,1,21,2,11,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,2,22,3,11,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,3,27,9,14,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,4,35,14,11,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,5,42,21,12,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,6,54,29,8,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,7,61,36,18,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,8,59,35,17,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,9,54,30,10,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,10,42,19,9,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,11,30,6,8,"Open-Meteo ERA5 historical, 2015-2024"
ice-lake-basin-co,12,22,0,10,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,1,44,26,6,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,2,51,29,6,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,3,59,35,7,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,4,71,42,3,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,5,78,51,3,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,6,92,63,1,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,7,95,69,2,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,8,92,66,4,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,9,86,58,2,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,10,72,46,4,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,11,58,34,2,"Open-Meteo ERA5 historical, 2015-2024"
kanab-creek-wilderness-az,12,47,28,5,"Open-Meteo ERA5 historical, 2015-2024"
kanarra-creek-ut,1,38,21,8,"Open-Meteo ERA5 historical, 2015-2024"
kanarra-creek-ut,2,41,23,6,"Open-Meteo ERA5 historical, 2015-2024"
kanarra-creek-ut,3,48,29,8,"Open-Meteo ERA5 historical, 2015-2024"
kanarra-creek-ut,4,60,36,5,"Open-Meteo ERA5 historical, 2015-2024"
kanarra-creek-ut,5,68,44,6,"Open-Meteo ERA5 historical, 2015-2024"
